season,date,home_team,away_team,scorer,scorer_team,goals
20092010,2009-10-06,Philadelphia Flyers,Washington Capitals,Mike Richards,Philadelphia Flyers,3
20092010,2009-10-06,Calgary Flames,Montréal Canadiens,Eric Nystrom,Calgary Flames,3
20092010,2009-10-08,San Jose Sharks,Columbus Blue Jackets,Dany Heatley,San Jose Sharks,3
20092010,2009-10-10,Tampa Bay Lightning,Carolina Hurricanes,Ryan Malone,Tampa Bay Lightning,3
20092010,2009-10-15,Ottawa Senators,Tampa Bay Lightning,Milan Michalek,Ottawa Senators,3
20092010,2009-11-10,St. Louis Blues,Vancouver Canucks,David Perron,St. Louis Blues,3
20092010,2009-11-14,Detroit Red Wings,Anaheim Ducks,Henrik Zetterberg,Detroit Red Wings,3
20092010,2009-11-14,Colorado Avalanche,Vancouver Canucks,Henrik Sedin,Vancouver Canucks,3
20092010,2009-12-28,Edmonton Oilers,Calgary Flames,Rene Bourque,Calgary Flames,3
20092010,2009-12-30,New York Rangers,Philadelphia Flyers,Simon Gagne,Philadelphia Flyers,3
20092010,2009-12-31,Dallas Stars,Anaheim Ducks,Loui Eriksson,Dallas Stars,3
20092010,2010-01-02,Minnesota Wild,New Jersey Devils,Jamie Langenbrunner,New Jersey Devils,3
20092010,2010-01-03,Ottawa Senators,Philadelphia Flyers,Alex Kovalev,Ottawa Senators,4
20092010,2010-01-03,Florida Panthers,Pittsburgh Penguins,Radek Dvorak,Florida Panthers,3
20092010,2010-01-05,Vancouver Canucks,Columbus Blue Jackets,Alexandre Burrows,Vancouver Canucks,3
20092010,2010-01-07,Vancouver Canucks,Phoenix Coyotes,Alexandre Burrows,Vancouver Canucks,3
20092010,2010-01-16,Phoenix Coyotes,Minnesota Wild,Guillaume Latendresse,Minnesota Wild,3
20092010,2010-01-18,Boston Bruins,Ottawa Senators,Daniel Alfredsson,Ottawa Senators,3
20092010,2010-01-19,Pittsburgh Penguins,New York Islanders,Evgeni Malkin,Pittsburgh Penguins,3
20092010,2010-01-21,Atlanta Thrashers,Carolina Hurricanes,Eric Staal,Carolina Hurricanes,3
20092010,2010-01-21,Phoenix Coyotes,Nashville Predators,Scottie Upshall,Phoenix Coyotes,3
20092010,2010-01-31,Colorado Avalanche,New York Rangers,Marian Gaborik,New York Rangers,3
20092010,2010-02-01,Pittsburgh Penguins,Buffalo Sabres,Sidney Crosby,Pittsburgh Penguins,3
20092010,2010-02-03,Calgary Flames,Carolina Hurricanes,Curtis Glencross,Calgary Flames,3
20092010,2010-02-07,Washington Capitals,Pittsburgh Penguins,Alex Ovechkin,Washington Capitals,3
20092010,2010-02-10,Montréal Canadiens,Washington Capitals,Brooks Laich,Washington Capitals,3
20092010,2010-02-11,Ottawa Senators,Washington Capitals,Alexander Semin,Washington Capitals,3
20092010,2010-02-13,Montréal Canadiens,Philadelphia Flyers,Daniel Briere,Philadelphia Flyers,3
20092010,2010-03-02,New York Islanders,Chicago Blackhawks,Blake Comeau,New York Islanders,3
20092010,2010-03-06,Colorado Avalanche,St. Louis Blues,Chris Stewart,Colorado Avalanche,3
20092010,2010-03-07,Chicago Blackhawks,Detroit Red Wings,Andrew Ladd,Chicago Blackhawks,3
20092010,2010-03-07,Minnesota Wild,Calgary Flames,Jarome Iginla,Calgary Flames,3
20092010,2010-03-09,Colorado Avalanche,Vancouver Canucks,Mikael Samuelsson,Vancouver Canucks,3
20092010,2010-03-18,Tampa Bay Lightning,Buffalo Sabres,Jason Pominville,Buffalo Sabres,3
20092010,2010-03-20,Dallas Stars,Ottawa Senators,Jason Spezza,Ottawa Senators,3
20092010,2010-03-31,Dallas Stars,San Jose Sharks,Steve Ott,Dallas Stars,3
20092010,2010-04-01,Los Angeles Kings,Vancouver Canucks,Dustin Brown,Los Angeles Kings,3
20092010,2010-04-02,Anaheim Ducks,Vancouver Canucks,Michael Grabner,Vancouver Canucks,3
20092010,2010-04-08,Carolina Hurricanes,Montréal Canadiens,Eric Staal,Carolina Hurricanes,3
20092010,2010-04-10,Ottawa Senators,Buffalo Sabres,Thomas Vanek,Buffalo Sabres,4
20092010,2010-04-10,Vancouver Canucks,Calgary Flames,Daniel Sedin,Vancouver Canucks,3
20102011,2010-10-09,Buffalo Sabres,New York Rangers,Derek Stepan,New York Rangers,3
20102011,2010-10-21,Phoenix Coyotes,Los Angeles Kings,Lee Stempniak,Phoenix Coyotes,3
20102011,2010-10-22,Columbus Blue Jackets,Calgary Flames,Rene Bourque,Calgary Flames,3
20102011,2010-10-22,Buffalo Sabres,Ottawa Senators,Daniel Alfredsson,Ottawa Senators,3
20102011,2010-10-23,Washington Capitals,Atlanta Thrashers,Alexander Semin,Washington Capitals,3
20102011,2010-10-23,Florida Panthers,New York Islanders,John Tavares,New York Islanders,3
20102011,2010-10-23,Colorado Avalanche,Los Angeles Kings,Brad Richardson,Los Angeles Kings,3
20102011,2010-10-27,San Jose Sharks,New Jersey Devils,Joe Thornton,San Jose Sharks,3
20102011,2010-10-30,St. Louis Blues,Atlanta Thrashers,Jay McClement,St. Louis Blues,3
20102011,2010-11-02,Edmonton Oilers,Vancouver Canucks,Raffi Torres,Vancouver Canucks,3
20102011,2010-11-03,Phoenix Coyotes,Nashville Predators,Ed Jovanovski,Phoenix Coyotes,3
20102011,2010-11-11,Washington Capitals,Tampa Bay Lightning,Alexander Semin,Washington Capitals,3
20102011,2010-11-11,Carolina Hurricanes,Philadelphia Flyers,Jeff Carter,Philadelphia Flyers,3
20102011,2010-11-12,Phoenix Coyotes,Calgary Flames,Vernon Fiddler,Phoenix Coyotes,3
20102011,2010-11-13,Atlanta Thrashers,Pittsburgh Penguins,Evgeni Malkin,Pittsburgh Penguins,3
