season,date,home_team,away_team,hat_trick,scorer,scorer_team,goals,hat_night
20142015,2014-10-08,Boston Bruins,Philadelphia Flyers,False,,,,False
20142015,2014-10-09,Pittsburgh Penguins,Anaheim Ducks,True,Corey Perry,Anaheim Ducks,3,False
20142015,2014-10-09,Detroit Red Wings,Boston Bruins,False,,,,False
20142015,2014-10-09,Nashville Predators,Ottawa Senators,False,,,,False
20142015,2014-10-09,Minnesota Wild,Colorado Avalanche,False,,,,False
20142015,2014-10-11,Boston Bruins,Washington Capitals,False,,,,False
20142015,2014-10-11,Detroit Red Wings,Anaheim Ducks,False,,,,False
20142015,2014-10-11,Nashville Predators,Dallas Stars,False,,,,False
20142015,2014-10-11,Chicago Blackhawks,Buffalo Sabres,False,,,,False
20142015,2014-10-13,Boston Bruins,Colorado Avalanche,False,,,,False
20142015,2014-10-14,Nashville Predators,Calgary Flames,False,,,,False
20142015,2014-10-15,Chicago Blackhawks,Calgary Flames,False,,,,False
20142015,2014-10-15,Detroit Red Wings,Boston Bruins,False,,,,False
20142015,2014-10-16,Pittsburgh Penguins,Dallas Stars,False,,,,False
20142015,2014-10-18,Detroit Red Wings,Toronto Maple Leafs,False,,,,False
20142015,2014-10-18,Pittsburgh Penguins,New York Islanders,False,,,,False
20142015,2014-10-18,Chicago Blackhawks,Nashville Predators,False,,,,False
20142015,2014-10-21,Boston Bruins,San Jose Sharks,False,,,,False
20142015,2014-10-21,Nashville Predators,Arizona Coyotes,False,,,,False
20142015,2014-10-21,Chicago Blackhawks,Philadelphia Flyers,False,,,,False
20142015,2014-10-22,Pittsburgh Penguins,Philadelphia Flyers,False,,,,False
20142015,2014-10-23,Boston Bruins,New York Islanders,False,,,,False
20142015,2014-10-23,Detroit Red Wings,Pittsburgh Penguins,False,,,,False
20142015,2014-10-23,Nashville Predators,Chicago Blackhawks,True,James Neal,Nashville Predators,3,False
20142015,2014-10-23,Minnesota Wild,Arizona Coyotes,False,,,,False
20142015,2014-10-25,Nashville Predators,Pittsburgh Penguins,False,,,,False
20142015,2014-10-25,Minnesota Wild,Tampa Bay Lightning,False,,,,True
20142015,2014-10-26,Chicago Blackhawks,Ottawa Senators,False,,,,False
20142015,2014-10-28,Boston Bruins,Minnesota Wild,False,,,,False
20142015,2014-10-28,Pittsburgh Penguins,New Jersey Devils,False,,,,False
20142015,2014-10-28,Chicago Blackhawks,Anaheim Ducks,False,,,,False
20142015,2014-10-30,Pittsburgh Penguins,Los Angeles Kings,False,,,,False
20142015,2014-10-30,Minnesota Wild,San Jose Sharks,False,,,,False
20142015,2014-10-31,Detroit Red Wings,Los Angeles Kings,False,,,,False
20142015,2014-11-01,Boston Bruins,Ottawa Senators,False,,,,False
20142015,2014-11-01,Pittsburgh Penguins,Buffalo Sabres,False,,,,False
20142015,2014-11-01,Minnesota Wild,Dallas Stars,False,,,,False
20142015,2014-11-02,Chicago Blackhawks,Winnipeg Jets,False,,,,False
20142015,2014-11-04,Boston Bruins,Florida Panthers,False,,,,False
20142015,2014-11-04,Minnesota Wild,Pittsburgh Penguins,False,,,,False
20142015,2014-11-06,Boston Bruins,Edmonton Oilers,False,,,,False
20142015,2014-11-07,Detroit Red Wings,New Jersey Devils,False,,,,False
20142015,2014-11-07,Chicago Blackhawks,Washington Capitals,False,,,,False
20142015,2014-11-09,Detroit Red Wings,Tampa Bay Lightning,False,,,,False
20142015,2014-11-09,Chicago Blackhawks,San Jose Sharks,False,,,,False
20142015,2014-11-10,Boston Bruins,New Jersey Devils,False,,,,False
20142015,2014-11-11,Nashville Predators,Edmonton Oilers,False,,,,False
20142015,2014-11-11,Chicago Blackhawks,Tampa Bay Lightning,False,,,,False
20142015,2014-11-13,Minnesota Wild,Buffalo Sabres,True,Nino Niederreiter,Minnesota Wild,3,False
20142015,2014-11-14,Detroit Red Wings,Chicago Blackhawks,False,,,,False
20142015,2014-11-15,Boston Bruins,Carolina Hurricanes,False,,,,False
20142015,2014-11-15,Nashville Predators,Winnipeg Jets,False,,,,False
20142015,2014-11-15,Pittsburgh Penguins,New York Rangers,False,,,,False
20142015,2014-11-16,Minnesota Wild,Winnipeg Jets,False,,,,False
20142015,2014-11-16,Chicago Blackhawks,Dallas Stars,False,,,,False
20142015,2014-11-16,Detroit Red Wings,Montréal Canadiens,False,,,,True
20142015,2014-11-18,Boston Bruins,St. Louis Blues,False,,,,False
20142015,2014-11-21,Pittsburgh Penguins,New York Islanders,False,,,,False
20142015,2014-11-22,Boston Bruins,Montréal Canadiens,False,,,,False
20142015,2014-11-22,Nashville Predators,Florida Panthers,False,,,,False
20142015,2014-11-24,Boston Bruins,Pittsburgh Penguins,False,,,,False
20142015,2014-11-24,Detroit Red Wings,Ottawa Senators,False,,,,False
20142015,2014-11-25,Nashville Predators,Los Angeles Kings,False,,,,False
20142015,2014-11-26,Detroit Red Wings,Philadelphia Flyers,False,,,,False
